Issue Type,File Path,Line Number,Issue Description,Severity,Recommendation,Impact,Module,Feature
"Main Thread Blocking","SalesLeadPlus/Utilities/SLFileManagerUtility.swift","277","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Utilities"
"Main Thread Blocking","SalesLeadPlus/Utilities/SLFileManagerUtility.swift","294","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Utilities"
"Main Thread Blocking","SalesLeadPlus/Utilities/SLFileManagerUtility.swift","301","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Utilities"
"Main Thread Blocking","SalesLeadPlus/Utilities/Constants/SLConstants.swift","72","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Utilities"
"Main Thread Blocking","SalesLeadPlus/Utilities/SLDateUtils.swift","368","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Utilities"
"Main Thread Blocking","SalesLeadPlus/Utilities/Extensions/SL+Extension.swift","326","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Utilities"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOrderTrackingRepository.swift","12","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOrderTrackingRepository.swift","13","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOrderTrackingRepository.swift","22","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOrderTrackingRepository.swift","38","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOrderTrackingRepository.swift","45","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOrderTrackingRepository.swift","60","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","42","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","97","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","106","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","108","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","111","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","112","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","120","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","129","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","131","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","134","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","135","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","144","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","153","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","155","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","158","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","159","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","221","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","229","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","233","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOWORepository.swift","241","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","28","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","35","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","42","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
